iter	Passed	Remaining
0	1	172
1	3	165
2	5	162
3	6	161
4	7	151
5	9	147
6	10	142
7	12	139
8	13	137
9	14	134
10	16	131
11	17	129
12	18	126
13	21	134
14	23	131
15	24	127
16	25	125
17	27	123
18	28	121
19	29	119
20	31	117
21	32	115
22	34	114
23	35	113
24	37	111
25	38	110
26	40	108
27	41	106
28	42	105
29	44	103
30	45	101
31	47	100
32	48	98
33	51	99
34	52	97
35	53	95
36	55	93
37	56	92
38	57	90
39	59	88
40	60	87
41	61	85
42	63	84
43	64	82
44	67	82
45	68	80
46	70	79
47	71	77
48	73	76
49	74	74
50	76	73
51	77	71
52	79	70
53	81	69
54	82	67
55	84	66
56	86	64
57	87	63
58	89	61
59	92	61
60	94	60
61	95	58
62	97	57
63	98	55
64	100	54
65	101	52
66	103	50
67	105	49
68	106	47
69	108	46
70	109	44
71	111	43
72	112	41
73	114	40
74	115	38
75	116	36
76	118	35
77	121	34
78	123	32
79	124	31
80	126	29
81	127	28
82	128	26
83	129	24
84	131	23
85	132	21
86	134	20
87	136	18
88	137	17
89	139	15
90	141	13
91	142	12
92	143	10
93	145	9
94	146	7
95	148	6
96	150	4
97	151	3
98	152	1
99	154	0
