iter	Passed	Remaining
0	134	133933
1	135	67537
2	136	45361
3	137	34258
4	139	27738
5	141	23360
6	142	20169
7	143	17755
8	144	15875
9	145	14374
10	146	13213
11	148	12214
12	149	11341
13	150	10601
14	151	9947
15	152	9377
16	155	8989
17	156	8544
18	157	8139
19	158	7776
20	159	7444
21	160	7143
22	161	6874
23	163	6645
24	164	6409
25	165	6192
26	166	5990
27	167	5802
28	168	5638
29	169	5479
30	170	5337
31	172	5204
32	173	5070
33	174	4946
34	175	4851
35	177	4758
36	179	4684
37	181	4591
38	182	4492
39	184	4417
40	185	4328
41	186	4243
42	187	4162
43	188	4089
44	189	4020
45	190	3954
46	192	3897
47	193	3836
48	194	3773
49	195	3713
50	196	3665
51	197	3609
52	198	3555
53	199	3500
54	200	3448
55	201	3396
56	202	3351
57	203	3305
58	204	3261
59	205	3220
60	206	3179
61	207	3142
62	208	3105
63	210	3084
64	212	3062
65	214	3030
66	215	2997
67	216	2965
68	217	2934
69	218	2903
70	220	2879
71	221	2849
72	222	2823
73	223	2794
74	224	2766
75	225	2744
76	226	2720
77	228	2696
78	228	2669
79	230	2651
80	231	2628
81	232	2606
82	233	2579
83	234	2556
84	235	2534
85	236	2513
86	237	2493
87	238	2472
88	239	2454
89	240	2435
90	242	2424
91	243	2406
92	244	2388
93	245	2369
94	246	2352
95	248	2340
96	249	2323
97	252	2321
98	253	2305
99	254	2290
100	255	2275
101	256	2259
102	257	2245
103	258	2229
104	260	2216
105	261	2202
106	262	2189
107	263	2175
108	264	2162
109	265	2148
110	266	2134
111	267	2121
112	268	2108
113	269	2096
114	270	2085
115	271	2072
116	272	2060
117	274	2050
118	275	2039
119	276	2029
120	277	2018
121	278	2004
122	279	1993
123	280	1981
124	281	1970
125	282	1959
126	283	1947
127	284	1940
128	286	1931
129	287	1923
130	288	1915
131	297	1953
132	298	1946
133	300	1942
134	302	1936
135	303	1927
136	304	1921
137	305	1911
138	307	1902
139	308	1892
140	308	1881
141	309	1871
142	310	1861
143	311	1852
144	312	1843
145	313	1833
146	315	1828
147	316	1819
148	317	1812
149	320	1817
150	321	1810
151	323	1802
152	324	1793
153	324	1785
154	325	1775
155	326	1767
156	327	1758
157	328	1750
158	329	1742
159	330	1735
160	331	1729
161	332	1721
162	333	1712
163	334	1705
164	336	1704
165	339	1704
166	340	1697
167	341	1692
168	342	1684
169	343	1677
170	345	1674
171	346	1667
172	347	1659
173	348	1652
174	348	1644
175	350	1638
176	352	1638
177	353	1633
178	354	1627
179	355	1621
180	356	1615
181	358	1609
182	359	1602
183	359	1596
184	360	1589
185	362	1585
186	363	1579
187	364	1572
188	365	1567
189	367	1566
190	368	1560
191	369	1555
192	370	1549
193	371	1544
194	372	1538
195	373	1533
196	375	1529
197	376	1523
198	377	1518
199	378	1512
200	379	1509
201	380	1503
202	382	1500
203	383	1495
204	385	1495
205	386	1491
206	388	1488
207	390	1485
208	393	1490
209	394	1485
210	395	1480
211	396	1474
212	397	1469
213	398	1463
214	399	1458
215	400	1452
216	401	1447
217	401	1441
218	402	1436
219	403	1431
220	406	1431
221	407	1428
222	408	1423
223	409	1418
224	410	1413
225	411	1408
226	412	1403
227	412	1398
228	413	1393
229	414	1388
230	415	1383
231	416	1379
232	417	1375
233	418	1371
234	419	1367
235	421	1363
236	422	1359
237	423	1355
238	424	1350
239	425	1346
240	426	1341
241	426	1337
242	427	1332
243	428	1327
244	429	1323
245	430	1318
246	430	1313
247	431	1308
248	432	1304
249	433	1300
250	435	1298
251	436	1294
252	436	1290
253	437	1285
254	438	1281
255	439	1276
256	440	1272
257	441	1268
258	441	1264
259	442	1260
260	443	1255
261	444	1251
262	445	1247
263	445	1243
264	446	1238
265	448	1236
266	449	1233
267	450	1231
268	452	1228
269	452	1224
270	453	1220
271	454	1216
272	455	1212
273	456	1208
274	456	1204
275	457	1200
276	458	1197
277	459	1193
278	460	1189
279	461	1186
280	462	1183
281	463	1179
282	464	1176
283	465	1173
284	466	1169
285	467	1166
286	467	1162
287	468	1158
288	469	1155
289	470	1151
290	471	1148
291	472	1144
292	473	1141
293	473	1138
294	474	1134
295	475	1131
296	476	1127
297	477	1124
298	478	1121
299	479	1117
300	479	1114
301	481	1112
302	482	1109
303	482	1105
304	483	1102
305	484	1098
306	485	1095
307	486	1092
308	486	1088
309	487	1085
310	488	1082
311	489	1079
312	490	1076
313	491	1073
314	492	1070
315	493	1067
316	494	1065
317	495	1062
318	496	1059
319	497	1058
320	499	1055
321	500	1053
322	500	1050
323	501	1047
324	502	1044
325	503	1040
326	504	1038
327	505	1035
328	506	1032
329	507	1029
330	508	1027
331	509	1024
332	510	1022
333	511	1020
334	512	1017
335	513	1014
336	514	1011
337	515	1008
338	516	1006
339	516	1003
340	517	1000
341	518	997
342	519	994
343	519	991
344	520	988
345	521	985
346	522	982
347	523	981
348	524	979
349	526	977
350	527	974
351	528	972
352	528	969
353	529	966
354	530	963
355	531	960
356	531	958
357	532	955
358	533	952
359	534	950
360	535	947
361	535	944
362	536	941
363	537	939
364	538	936
365	539	934
366	540	932
367	541	930
368	542	928
369	543	925
370	544	922
371	545	920
372	546	917
373	546	915
374	547	912
375	548	910
376	549	907
377	550	905
378	551	902
379	551	900
380	552	897
381	554	896
382	555	894
383	556	892
384	556	889
385	557	887
386	558	884
387	559	882
388	560	880
389	561	877
390	561	875
391	562	872
392	563	870
393	564	868
394	565	865
395	565	863
396	566	860
397	567	858
398	568	856
399	569	853
400	570	852
401	571	849
402	572	848
403	573	846
404	574	843
405	575	841
406	575	838
407	576	836
408	577	834
409	578	832
410	578	829
411	579	827
412	580	825
413	581	822
414	582	820
415	582	818
416	583	816
417	584	814
418	585	811
419	586	809
420	587	807
421	587	805
422	588	803
423	589	800
424	590	798
425	591	796
426	592	794
427	593	792
428	593	790
429	594	788
430	595	786
431	596	784
432	597	781
433	597	779
434	598	777
435	599	775
436	600	773
437	601	771
438	601	769
439	602	766
440	603	764
441	604	762
442	604	760
443	605	758
444	606	756
445	607	754
446	608	752
447	609	750
448	609	748
449	610	746
450	611	744
451	612	742
452	612	740
453	613	738
454	614	736
455	615	734
456	616	732
457	617	730
458	617	728
459	618	726
460	619	724
461	620	722
462	621	720
463	622	718
464	623	716
465	623	714
466	624	712
467	625	710
468	626	708
469	626	706
470	627	705
471	628	703
472	629	701
473	630	699
474	630	697
475	631	695
476	632	693
477	632	691
478	634	689
479	635	687
480	635	686
481	636	684
482	637	682
483	638	680
484	638	678
485	639	676
486	640	674
487	641	672
488	642	671
489	642	669
490	643	667
491	644	665
492	645	663
493	645	661
494	646	659
495	647	657
496	650	657
497	651	657
498	653	655
499	654	654
500	654	652
501	655	650
502	656	649
503	657	647
504	658	645
505	659	643
506	660	642
507	661	640
508	662	638
509	663	637
510	664	635
511	664	633
512	665	631
513	666	630
514	667	628
515	668	626
516	668	624
517	669	623
518	670	621
519	671	619
520	672	618
521	673	616
522	675	616
523	676	614
524	677	613
525	680	613
526	681	611
527	682	610
528	683	608
529	684	607
530	685	605
531	686	603
532	687	602
533	688	600
534	688	598
535	689	596
536	690	595
537	691	593
538	691	591
539	692	590
540	693	588
541	694	586
542	695	585
543	695	583
544	696	581
545	697	579
546	698	578
547	699	576
548	700	575
549	700	573
550	701	571
551	702	570
552	703	568
553	703	566
554	704	565
555	705	563
556	706	561
557	706	560
558	707	558
559	708	556
560	709	555
561	710	553
562	710	551
563	711	550
564	712	548
565	713	547
566	714	545
567	715	544
568	716	542
569	717	541
570	718	539
571	719	538
572	719	536
573	720	534
574	721	533
575	722	531
576	722	530
577	723	528
578	724	527
579	725	525
580	726	523
581	727	522
582	729	522
583	731	520
584	732	519
585	733	518
586	734	516
587	734	514
588	735	513
589	736	511
590	737	510
591	738	508
592	738	507
593	739	505
594	740	504
595	741	502
596	743	502
597	745	501
598	746	499
599	747	498
600	748	497
601	749	495
602	750	494
603	751	492
604	752	491
605	753	489
606	754	488
607	755	486
608	756	485
609	757	484
610	758	482
611	759	481
612	760	480
613	761	478
614	762	477
615	763	475
616	764	474
617	765	473
618	766	472
619	767	470
620	768	469
621	769	467
622	770	466
623	771	464
624	771	463
625	773	461
626	774	460
627	775	459
628	776	457
629	776	456
630	777	454
631	778	453
632	779	451
633	779	450
634	780	448
635	781	447
636	782	445
637	783	444
638	783	442
639	784	441
640	785	439
641	786	438
642	787	436
643	787	435
644	788	434
645	789	432
646	790	431
647	791	430
648	792	428
649	793	427
650	793	425
651	794	424
652	795	422
653	796	421
654	797	419
655	797	418
656	798	417
657	799	415
658	800	414
659	801	412
660	801	411
661	802	409
662	803	408
663	804	407
664	805	405
665	806	404
666	806	402
667	807	401
668	808	400
669	809	398
670	810	397
671	811	395
672	811	394
673	812	393
674	813	391
675	814	390
676	815	388
677	816	387
678	817	386
679	817	384
680	818	383
681	819	382
682	820	380
683	821	379
684	822	378
685	823	376
686	824	375
687	825	374
688	826	372
689	827	371
690	828	370
691	828	368
692	829	367
693	830	366
694	831	364
695	832	363
696	833	362
697	834	360
698	834	359
699	835	358
700	836	356
701	837	355
702	838	354
703	839	352
704	839	351
705	840	350
706	841	348
707	842	347
708	843	346
709	844	344
710	844	343
711	845	342
712	846	340
713	847	339
714	848	338
715	848	336
716	849	335
717	851	334
718	852	333
719	852	331
720	853	330
721	854	329
722	855	327
723	856	326
724	856	325
725	857	323
726	858	322
727	859	321
728	860	319
729	860	318
730	861	317
731	862	315
732	863	314
733	864	313
734	865	312
735	866	310
736	867	309
737	868	308
738	868	306
739	869	305
740	870	304
741	871	303
742	872	301
743	873	300
744	874	299
745	875	297
746	875	296
747	876	295
748	878	294
749	879	293
750	880	291
751	881	290
752	882	289
753	883	288
754	884	286
755	884	285
756	885	284
757	886	283
758	887	281
759	888	280
760	889	279
761	890	278
762	891	276
763	892	275
764	894	274
765	895	273
766	896	272
767	896	270
768	897	269
769	898	268
770	899	267
771	900	265
772	901	264
773	902	263
774	903	262
775	904	260
776	904	259
777	905	258
778	906	257
779	907	256
780	909	254
781	909	253
782	910	252
783	911	251
784	912	249
785	913	248
786	914	247
787	915	246
788	916	244
789	916	243
790	917	242
791	918	241
792	919	239
793	920	238
794	921	237
795	921	236
796	922	235
797	923	233
798	924	232
799	925	231
800	926	230
801	927	228
802	927	227
803	928	226
804	929	225
805	930	223
806	931	222
807	932	221
808	933	220
809	934	219
810	935	217
811	935	216
812	936	215
813	937	214
814	938	213
815	939	211
816	940	210
817	941	209
818	942	208
819	943	207
820	943	205
821	944	204
822	945	203
823	946	202
824	946	200
825	947	199
826	948	198
827	949	197
828	950	196
829	951	194
830	952	193
831	953	192
832	954	191
833	955	190
834	955	188
835	956	187
836	957	186
837	958	185
838	959	184
839	960	182
840	961	181
841	961	180
842	962	179
843	963	178
844	964	176
845	965	175
846	966	174
847	967	173
848	968	172
849	969	171
850	969	169
851	970	168
852	971	167
853	972	166
854	973	165
855	974	163
856	975	162
857	976	161
858	977	160
859	977	159
860	978	158
861	979	156
862	980	155
863	981	154
864	982	153
865	984	152
866	985	151
867	985	149
868	986	148
869	987	147
870	988	146
871	989	145
872	990	144
873	990	142
874	991	141
875	992	140
876	993	139
877	994	138
878	995	136
879	995	135
880	996	134
881	997	133
882	999	132
883	1000	131
884	1000	130
885	1001	128
886	1002	127
887	1003	126
888	1004	125
889	1005	124
890	1006	123
891	1007	121
892	1008	120
893	1008	119
894	1009	118
895	1010	117
896	1011	116
897	1012	114
898	1013	113
899	1013	112
900	1014	111
901	1015	110
902	1016	109
903	1017	108
904	1018	106
905	1019	105
906	1019	104
907	1020	103
908	1021	102
909	1022	101
910	1023	99
911	1024	98
912	1025	97
913	1025	96
914	1026	95
915	1027	94
916	1028	93
917	1029	91
918	1029	90
919	1030	89
920	1031	88
921	1032	87
922	1033	86
923	1034	85
924	1035	83
925	1035	82
926	1036	81
927	1037	80
928	1038	79
929	1039	78
930	1040	77
931	1040	75
932	1041	74
933	1042	73
934	1043	72
935	1044	71
936	1045	70
937	1046	69
938	1046	68
939	1047	66
940	1048	65
941	1049	64
942	1050	63
943	1051	62
944	1051	61
945	1052	60
946	1053	58
947	1054	57
948	1055	56
949	1056	55
950	1056	54
951	1057	53
952	1058	52
953	1059	51
954	1060	49
955	1061	48
956	1062	47
957	1062	46
958	1063	45
959	1064	44
960	1065	43
961	1066	42
962	1067	41
963	1068	39
964	1069	38
965	1070	37
966	1071	36
967	1071	35
968	1072	34
969	1073	33
970	1074	32
971	1075	30
972	1076	29
973	1076	28
974	1077	27
975	1078	26
976	1079	25
977	1080	24
978	1081	23
979	1082	22
980	1082	20
981	1083	19
982	1084	18
983	1085	17
